,ジャンル,単語,拼音,日本語訳,補足説明,例文,例文の修正案
1,あいづち・リアクション,就是,jiù shì,まさに・そうなんだよ,強い同意や共感を示す表現。,就是！我也这么觉得。/ まさに！私もそう思う。,
2,あいづち・リアクション,可不是,kě bu shì,本当にそうだよね,強い同意。北方方言でよく使う。,可不是，太烦了。/ 本当にそうだよ、うんざりする。,
3,あいづち・リアクション,没错,méi cuò,その通り・正解,相手の発言が正しいと確認する表現。,没错，就是这个意思。/ その通り、そういう意味だよ。,
4,あいづち・リアクション,无所谓,wúsuǒwèi,どうでもいい・かまわない,「随便」より少し投げやりなニュアンス。,无所谓，怎样都行。/ どうでもいい、なんでもいいよ。,
5,あいづち・リアクション,得了,dé le,もういい・やめとけ,諦めや制止の表現。,得了，别说了。/ もういい、やめて。,
6,あいづち・リアクション,行了,xíng le,もういい・わかった,「得了」と近いが少し柔らかい。,行了行了，我知道了。/ もういいって、わかったから。,
7,あいづち・リアクション,算了,suàn le,もういいや・諦めた,諦めや妥協のときの表現。,算了，不说了。/ もういいや、言わない。,
8,あいづち・リアクション,说真的,shuō zhēn de,正直に言うと・マジな話,本音を言う前の前置き表現。,说真的，我不太喜欢。/ 正直に言うと、あまり好きじゃない。,
9,あいづち・リアクション,真的假的,zhēn de jiǎ de,本当に？・嘘でしょ？,驚いたときの定番リアクション。,真的假的，这也行？/ 本当に？それでもいいの？,
10,あいづち・リアクション,我去,wǒ qù,うわ・まじか,驚きや呆れのときの感嘆詞。,我去，这也太贵了吧。/ うわ、これ高すぎる。,
11,あいづち・リアクション,卧槽,wò cáo,うわ・マジか（強め）,強い驚きや感嘆。やや下品な表現。,卧槽，没想到！/ うわ、思いもしなかった！,
12,あいづち・リアクション,牛啊,niú a,すごいじゃん！,感心や称賛のリアクション。,牛啊，你怎么做到的！/ すごいじゃん、どうやったの！,
13,あいづち・リアクション,服了,fú le,参った・脱帽,相手の行動に感心や呆れを示す。,我服了你了。/ 君には参ったよ。,
14,あいづち・リアクション,绝了,jué le,最高・やばすぎる,極めて良いときのリアクション。,这个菜绝了！/ この料理やばすぎる！,
15,あいづち・リアクション,笑死我了,xiào sǐ wǒ le,笑い死ぬ,面白くてたまらないときの誇張表現。,笑死我了，这什么梗。/ 笑い死ぬ、なにこれ。,
16,あいづち・リアクション,emmm,emmm,うーん・えー,考え中や曖昧なときの反応。,emmm，这个不好说。/ うーん、これは言いにくいな。,
17,あいづち・リアクション,我不说了,wǒ bù shuō le,もう言わない,呆れや諦めで黙るときの表現。,我不说了，随你吧。/ もう言わない、好きにして。,
18,あいづち・リアクション,你懂的,nǐ dǒng de,わかるでしょ,説明しなくてもわかるはずというニュアンス。,就那种感觉，你懂的。/ あの感じ、わかるでしょ。,
19,あいづち・リアクション,懂吧,dǒng ba,わかる？,相手の理解を確認する表現。,就是这个意思，懂吧？/ そういうことだよ、わかる？,
20,あいづち・リアクション,成,chéng,いいよ・OK（北方）,「行」と同じ意味。北方でよく使う。,成，没问题。/ いいよ、問題ない。,
21,あいづち・リアクション,没问题,méi wèntí,問題ない・大丈夫,自信を持って引き受けるときの返事。,没问题，交给我吧。/ 問題ない、任せて。,
22,あいづち・リアクション,哈？,hā?,はっ？・え？,聞き返しや驚きのリアクション。,哈？你说啥？/ はっ？何言った？,
23,あいづち・リアクション,啊对,ā duì,あ、そうだ・あ、そうそう,思い出したときや同意のリアクション。,啊对，我差点忘了。/ あ、そうだ、もう少しで忘れるとこだった。,
24,あいづち・リアクション,然后呢,rán hòu ne,それで？・それから？,話の続きを促す相槌。,然后呢，发生了什么？/ それで？何があったの？,
25,あいづち・リアクション,咋了,zǎ le,どうしたの？（北方方言）,「怎么了」の北方方言の短縮形。,咋了，哭啥呢？/ どうしたの、なんで泣いてるの？,
26,あいづち・リアクション,啊这,ā zhè,えっこれ・うわこれ,2020年代に流行したネット発の感嘆表現。,啊这，没想到是这样。/ えっこれ、こうなるとは思わなかった。,
27,日常会話・雑談,干嘛,gàn ma,何してるの？・何しに？,「什么事」より砕けた問いかけ。,你干嘛呢？/ 何してるの？,
28,日常会話・雑談,咋样,zǎ yàng,どう？（北方方言）,「怎么样」の北方方言省略形。,最近咋样？/ 最近どう？,
29,日常会話・雑談,凑合,còuhe,まあまあ・及第点,特別良くも悪くもないときの表現。,这家店凑合吧。/ この店まあまあかな。,
30,日常会話・雑談,就那样,jiù nà yàng,まあそんな感じ・普通,特に変わりないときの答え方。,最近就那样，没啥事。/ 最近まあそんな感じ、何もないよ。,
31,日常会話・雑談,没啥,méi shá,特になし・別に,「没什么」の口語省略形。,没啥，就随便问问。/ 特になし、なんとなく聞いただけ。,
32,日常会話・雑談,算了算了,suàn le suàn le,もういいもういい,諦めや話を終わらせたいときの表現。,算了算了，不提了。/ もういいもういい、もう言わない。,
33,日常会話・雑談,难怪,nánguài,どうりで・だから,原因がわかったときの納得表現。,难怪你今天这么高兴。/ どうりで今日こんなに機嫌いいわけだ。,
34,日常会話・雑談,怪不得,guài bu de,どうりで・納得,「难怪」と同じ意味。,怪不得她不来，原来是生病了。/ どうりで来ないと思ったら、病気だったんだ。,
35,日常会話・雑談,话说,huà shuō,そういえば・ところで,話題を変えるときの前置き。,话说，你最近怎么样？/ そういえば、最近どう？,
